week.code,Week,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
201604,01/24/2016,0.7186858316,4,2.1,3,0.1,1.87,1.8,1.4516798009,0.5146262189,2.3468500011,1.430771725,2.330877428,0.8865569025,0.8166042872,0.7625465508,1.5285084601,0.3432494279,0.4068584714,0.4112808461,1.8590575011,2.3987538941,1.1969111969,1.601304056,0.8417508418,2.1238938053,2.4707996406,0.6317354143,1.019160212,1.5992892048,1.3291013688,4.9612948628,2.8314917127,1.9345238095,1.8020769701,1.0181818182,1.3435400719,1.4
201605,01/31/2016,0.6013229104,3.2,2,3.9,0.19,1.9,1.65,1.6774370961,0.7086285952,2.5103885533,1.6112330696,1.4613473623,1.1583871686,0.9876741478,1.0043780582,1.6268008548,1.0773751224,0.4371584699,0.5887129517,1.692082724,2.6482963452,1.3871374527,1.732897841,0.8741788782,2.2276301011,2.4578252354,1.119969628,1.8691588785,2.0684736091,1.7164033548,4.892412231,3.1889374912,1.7453372698,1.0644589001,1.283566965,1.6210905518,1.1
201606,02/07/2016,1.199760048,4.2,2.4,5.1,0.09,1.97,1.38,1.6462015922,1.0034904014,2.6271345468,1.4957360361,2.6012682801,0.8998435055,1.3331607559,1.1178861789,2.1611544569,1.2779552716,0.7044237813,0.6876926725,2.6556016598,3.7199969129,1.8037210623,2.71641791,1.0973566139,1.9072911637,2.3748064017,0.9520253873,2.2527682321,2.9211956522,1.6343095316,5.6280410326,4.0928469919,1.9084970437,1.7096999302,1.7805858702,1.7437334579,1.9
201607,02/14/2016,1.6979987871,6.3,2.6,5.1,0.05,2.48,1.73,2.3453608247,1.4820883295,2.8919298393,1.5718184575,4.377457405,0.9208874006,1.6799483093,2.7324120603,3.1233295151,1.5719467956,0.6990969997,0.6551648832,3.0121768853,4.0992606691,2.241892186,1.766639277,1.4414517889,2.8195887216,2.0291255435,1.369863014,2.0493358634,2.433384717,3.1160851437,6.3625562781,4.242135367,2.3280163964,2.7302174919,2.3529411765,2.1671826625,1.7
201608,02/21/2016,1.9941348974,16.4,3.1,5.4,0.66,2.65,1.52,2.4044710164,2.3454918398,3.2062447584,1.5761676844,3.1699126931,0.8838643371,2.3900076064,2.6564885496,4.193017961,1.0256410256,1.0054582017,0.7532122286,2.5811655576,4.1611208406,2.3411811127,2.832972654,1.6718235353,2.4851844772,2.9104923915,1.467326395,2.5528811087,2.4216817807,3.337995338,4.4816942133,3.4478034524,2.6924725786,1.5365318282,2.1085837622,2.5566442131,2.7
201609,02/28/2016,1.9274376417,19,4.7,5.2,1.03,2.96,1.53,2.9424491562,2.113296155,3.7053445568,1.7521530694,3.0039525692,0.9032743696,2.6582027376,3.0910131654,3.9974210187,0.8902077151,1.4883459702,0.7838283828,3.7633326625,5.0465670349,2.7626266204,3.414634146,1.6564905761,2.6625786671,3.3248608917,1.368034701,2.3102310231,2.1168413407,3.3308728548,4.7194978423,3.5741929609,3.345391584,2.1916092674,1.6615737204,2.9807837797,2.7
201610,03/06/2016,3.4042553191,8.6,5.5,4.3,1.74,3.54,1.98,3.2671796949,2.6705806544,3.6396858067,2.5808068153,3.0309342777,1.1257035647,2.7345573362,4.0729483283,3.8359503836,1.6412661196,1.6096579477,1.2542990087,4.4718737353,4.3949220367,2.5523012552,3.416091096,2.4444791179,3.4689507495,4.4683598795,2.067057292,2.4554646124,2.4914184476,3.6227243619,4.0148476832,3.2743913275,3.9430878751,2.5880228709,1.4226100152,3.2754716981,3.1
201611,03/13/2016,5.7343475717,10.1,4.2,3.4,1.34,2.5,1.74,2.5776715603,2.2473954779,2.8745363651,2.2292720569,2.38065869,1.951951952,2.3399835378,2.5056947608,3.9711465452,2.0964360587,0.8457276174,1.2773722628,4.8609305953,4.6651507372,2.7707808564,3.803033634,1.7828452967,3.2060348892,3.2034692593,1.724454229,2.1102497847,1.9243830654,2.2017470384,3.7311945801,2.3078842315,3.7071014965,2.6474127557,1.1551588343,2.7158986878,2.4
201612,03/20/2016,4.1559774243,10.4,3.5,3.1,1.53,3.02,1.33,2.1566073238,1.5806886411,2.9295009234,1.9325958766,1.7209654725,1.400882748,2.1806133457,2.2357324966,3.4571268148,1.3615733737,1.0515938219,1.1810221951,3.9079002957,3.9316370325,1.2785543812,2.894627239,1.8223734768,1.1567732116,3.4131957243,1.585395148,2.0955574183,2.1173979532,2.7981345769,3.4631841683,2.7131952017,3.1451744709,2.206320811,1.8084564442,2.6170798898,2.2
201613,03/27/2016,4.4224765869,14.4,3.1,2.9,0.87,2.94,1.38,2.0661824052,1.474504193,2.5822173534,1.9207242476,1.3805605913,1.8066847335,1.9909950845,1.4223627025,3.0393937002,1.7857142857,1.087275933,1.3643659711,2.8848271306,3.6039873903,1.0071090047,1.59898118,1.4758840545,2.3569023569,2.6306201268,1.297480256,1.3630731103,1.7857142857,2.8989779874,3.2443970117,2.5078519083,2.8142448372,2.2305909618,1.2540376211,2.6944494342,2.7
