Week,ILI,GFT,AR52,ARGO,state
2013-05-19,0.0256937307,0.6193326419998705,0.2647828812902252,0.3073824884883033,SD
2013-05-26,0.08797653960000001,0.5712909073388776,0.1361464515649332,0.14125747680089076,SD
2013-06-02,0.0492125984,0.5173665112908243,0.1823218762922421,0.19679257480749854,SD
2013-06-09,0.0,0.4742269944523817,0.21031360900828344,0.1921210498901239,SD
2013-06-16,0.2227171492,0.4526572360331604,0.10488419201309096,0.14062356698354786,SD
2013-06-23,0.5154639175,0.43598969543648936,0.27035975290757497,0.2665139290516627,SD
2013-06-30,0.17211703960000002,0.4163808241462882,0.4617331854099038,0.2809106113602895,SD
2013-07-07,0.0,0.3948110657270669,0.3393321094854167,0.4178671048380066,SD
2013-07-14,0.1968503937,0.3820652993884361,0.17094558843307395,0.25159569753612643,SD
2013-07-21,0.1968503937,0.3732413073078456,0.2104881270586969,0.255567411518966,SD
2013-07-28,0.0,0.6261957469514409,0.29329140976738444,0.3383565981820027,SD
2013-08-04,0.1792114695,0.5565842538712267,0.1083486478128224,0.23598513400102786,SD
2013-08-11,0.3278688525,0.5046207449521936,0.2592213945711642,0.3088005789568652,SD
2013-08-18,0.1779359431,0.4663834459363012,0.4015030650055702,0.3844269077156836,SD
2013-08-25,0.5272407733,0.4987380835651332,0.3397452185838409,0.34790289771579075,SD
2013-09-01,0.9541984733,0.46344211524277096,0.5591455529113578,0.5438499182456584,SD
2013-09-08,0.1724137931,0.4791292122749321,0.8967527874963219,0.8451967639002042,SD
2013-09-15,0.5152741995000001,0.5154056241618041,0.5359976494514218,0.5946709988089921,SD
2013-09-22,0.6013229104,0.464422558807281,0.5886170543782079,0.6585590053868413,SD
2013-09-29,0.6721559401999999,0.44873546177512014,0.6805052231834037,0.7179509004632251,SD
2013-10-06,0.9383852691,0.5408971568390657,0.7515027123358764,0.7034052614493571,SD
2013-10-13,0.5863539446,0.6134499806128101,0.9355586237002422,0.914040057043512,SD
2013-10-20,0.5872931127000001,0.6409024004190917,0.7925799422518047,0.8447662059774118,SD
2013-10-27,0.7094778970000001,0.5673691330808373,0.7381055201877074,0.5884109272234013,SD
2013-11-03,0.8897126969,0.6389415132900716,0.7966612821249369,0.8850952115712831,SD
2013-11-10,1.1086090421,0.6918854657736149,0.990068324161912,0.9640984953940828,SD
2013-11-17,0.8799087501999999,0.6948267964671451,1.1901339596759255,1.0190513694101653,SD
2013-11-24,1.3797783307,0.678159255870474,1.183416511589099,1.0766505653693592,SD
2013-12-01,1.1693834159999998,0.8007147014342314,1.4879036944238762,1.4797191155275935,SD
2013-12-08,1.0671256454,0.8311084519340433,1.440290136990682,1.3310641287624223,SD
2013-12-15,1.5108924807,0.908563493530338,1.3492705532819198,1.615678621023546,SD
2013-12-22,2.2199277233,3.181231676064656,1.5751237237284297,2.420751541348575,SD
2013-12-29,2.1949254934,3.4155576879825595,2.063290364224198,2.218204905192081,SD
2014-01-05,2.2770728316,3.2753542582576207,2.180793650903857,2.266707600407376,SD
2014-01-12,1.7207147584,2.8351350977926044,2.1986258588674366,2.1032680053640886,SD
2014-01-19,1.9096334186,2.3429524284085543,1.9043757286532887,1.8861859964835936,SD
2014-01-26,2.2584033613,1.8625350817986253,1.8453080806702256,1.9141049515612325,SD
2014-02-02,1.971388695,1.4262376955916491,2.053597023275,1.8559456723073289,SD
2014-02-09,1.9941986947,1.3478022104308445,1.9159756976130449,1.8722276055041696,SD
2014-02-16,1.8303644386,1.339958661914764,1.858156085627176,1.772529865213499,SD
2014-02-23,1.5296052632,1.040923374739196,1.6416522002977698,1.6909568858142587,SD
2014-03-02,2.0029311187,0.9850380915621224,1.4090337692103614,1.422415689276359,SD
2014-03-09,1.0762331839,0.8154213549018823,1.5945573882013262,1.4768107206214525,SD
2014-03-16,0.8997188379000001,0.7958124836116811,1.1363584243506466,1.1475654136778792,SD
2014-03-23,0.9902680553,0.7830667172730503,0.9457362199892216,0.983261677302088,SD
2014-03-30,0.8457056944,0.7516925232087285,0.8139455171284647,0.8888060394594133,SD
2014-04-06,0.925401322,0.7183574420153864,0.6929302262364834,0.7955448590120636,SD
2014-04-13,0.7991282237999999,0.6732570380479237,0.6922761920017999,0.64399605843639,SD
2014-04-20,1.0238235873,0.5703104637743674,0.6134464253180858,0.6378223172340827,SD
2014-04-27,0.9328003046,0.5105034063392538,0.7961472883859142,0.7030345559149312,SD
2014-05-04,1.4167433303,0.5359949390165154,0.7275762230554219,0.782176833358548,SD
2014-05-11,1.0322822823,0.5232491726778846,1.0985195900393283,0.957773663685116,SD
2014-05-18,0.7793653739,0.5477602617906361,0.8363303707057238,0.7652438665176192,SD
2014-05-25,0.7923169268000001,0.5408971568390657,0.6094557303423087,0.5755836377509667,SD
2014-06-01,0.4428697963,0.6222739726934006,0.7346520996882117,0.7882224189045779,SD
2014-06-08,0.6364022062,0.6173717548708503,0.4392946848977564,0.5724419620463447,SD
2014-06-15,0.4678600488,0.5987433271451592,0.5074589486404812,0.5872712780131972,SD
2014-06-22,0.7152522714,0.5859975608065284,0.4965408641182008,0.5249382069088779,SD
2014-06-29,0.3043783657,0.5575646974357367,0.5666091008119221,0.5384067267929075,SD
2014-07-06,0.4850444624,0.5565842538712267,0.3354425575254767,0.3564761849286373,SD
2014-07-13,0.4266046151,0.5350144954520053,0.4198017766807887,0.4138440656265534,SD
2014-07-20,0.7200338839,0.5330536083229852,0.4541514614099986,0.413735209433454,SD
2014-07-27,0.5389332838,0.4859923172265024,0.5822674695438774,0.5301989277613692,SD
2014-08-03,0.6112702960999999,0.4859923172265024,0.5340052245426272,0.5009259022503781,SD
2014-08-10,0.5504261364,0.4605007845492409,0.5541333373869414,0.4589747433571757,SD
2014-08-17,0.6147900931,0.4742269944523817,0.5186856084729673,0.4678651720486169,SD
2014-08-24,0.6297462493,0.5144251805972941,0.6131564856624627,0.553883299202194,SD
2014-08-31,0.7775683318000001,0.5732517944678976,0.6220104527923696,0.5756524429406799,SD
2014-09-07,0.7663628831999999,0.6320784083385013,0.6775939548574059,0.6597507659305504,SD
2014-09-14,0.6683915481,0.6291370776449711,0.6181800714509164,0.6027233263544464,SD
2014-09-21,0.7291082445,0.7722818380634396,0.6628065782940702,0.6088723304740074,SD
2014-09-28,0.8205307262999999,0.8379715568856136,0.7488608071994305,0.7067162483976364,SD
2014-10-05,0.7817929117,0.8399324440146337,0.8442143189736947,0.7673629899390597,SD
2014-10-12,0.8442310876000001,0.9850380915621224,0.917284200921876,0.8695594726711864,SD
2014-10-19,1.0967966574,1.1291632955451012,0.9084047360745016,0.8168506018847925,SD
2014-10-26,0.7051401002,1.0183731727554646,1.0470339059603622,0.9473529310554084,SD
2014-11-02,0.8867667120999999,1.0173927291909544,0.9316763787669252,0.9201915800412444,SD
2014-11-09,0.802919708,0.9664096638364316,1.155774262357674,1.0802396498270022,SD
2014-11-16,1.0598923284,0.9762140994815319,1.0745648629027975,0.9839067617636754,SD
2014-11-23,0.9889862891,0.94189857472368,1.2248008557334318,1.0779218517293827,SD
