Metric,State,Model,2012-13,2013-14,2014-15,2015-16,2016-17,Whole Period,GFT Period
PEARSON,GA,ARGO,0.9590000000000001,0.975,0.927,0.55,0.887,0.91,0.938
PEARSON,ID,GFT,0.862,0.903,0.956,--,--,0.638,0.638
PEARSON,ID,AR52,0.812,0.802,0.897,0.368,--,0.862,0.871
PEARSON,ID,ARGO,0.851,0.858,0.9179999999999999,0.40700000000000003,--,0.888,0.898
PEARSON,KS,GFT,0.88,0.9540000000000001,0.9570000000000001,--,--,0.8859999999999999,0.8859999999999999
PEARSON,KS,AR52,0.9179999999999999,0.897,0.9490000000000001,0.588,0.909,0.9329999999999999,0.946
PEARSON,KS,ARGO,0.946,0.937,0.95,0.78,0.96,0.955,0.9540000000000001
PEARSON,KY,GFT,0.902,0.922,0.9590000000000001,--,--,0.856,0.856
PEARSON,KY,AR52,0.91,0.9079999999999999,0.92,0.8,0.8959999999999999,0.935,0.929
PEARSON,KY,ARGO,0.937,0.966,0.946,0.8370000000000001,0.9079999999999999,0.941,0.951
PEARSON,LA,GFT,0.904,0.9470000000000001,0.978,--,--,0.856,0.856
PEARSON,LA,AR52,0.922,0.852,0.94,0.615,0.9329999999999999,0.937,0.938
PEARSON,LA,ARGO,0.96,0.9570000000000001,0.9590000000000001,0.805,0.938,0.9590000000000001,0.9620000000000001
PEARSON,MA,GFT,0.737,0.802,0.9309999999999999,--,--,0.711,0.711
PEARSON,MA,AR52,0.825,0.8170000000000001,0.86,0.868,0.903,0.895,0.885
PEARSON,MA,ARGO,0.9690000000000001,0.9640000000000001,0.973,0.96,0.99,0.966,0.965
PEARSON,MD,GFT,-0.58,-0.87,-0.9259999999999999,--,--,-0.693,-0.693
PEARSON,MD,AR52,0.358,0.5670000000000001,0.545,0.7170000000000001,0.836,0.5720000000000001,0.47700000000000004
PEARSON,MD,ARGO,0.361,0.601,0.9009999999999999,0.684,0.878,0.63,0.555
PEARSON,ME,GFT,0.861,0.77,0.9129999999999999,--,--,0.805,0.805
