Week,NH,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,flu virus,rsv baby,flu shot,rsv,tussionex,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,human temperature,influenza a,influenza b,flu vs cold,flu medicine,cold symptoms,symptoms of the flu,what is rsv
2014-03-16,0.2548656163,0.00201477501679,0.00268636668905,0.00335795836132,1023.86798,122.721527132,122.333995437,122.333995437,0.0,532.879029063,0.0,245.517072072,0.0,205.323576585,0.0,123.676942426,122.721527132,0.0,123.308685282,8617.65397615,0.0,122.840027033,164.16217696,0.0,122.242719544,122.021665802,0.0,0.0,122.204926099,450.717933259,0.0,122.168150591,0.0,122.714531253,184.194607388,123.714205741,777.903309059,409.754590876,245.517072072,0.0,1106.30078876,492.559844034,0.0,123.01047553,0.0,0.0,0.0,122.825101031,123.27143763,123.863483818,0.0,0.0,123.236233924,122.642688202,0.0
2014-03-23,0.124750499,0.000694927032662,0.00138985406532,0.00347463516331,1457.95463036,121.625549881,121.547153318,121.547153318,243.76243346,770.78086742,121.585782555,283.272191203,0.0,487.082069261,323.865383361,121.882608713,121.625549881,121.882608713,0.0,9011.20765514,0.0,121.510498813,446.673049331,121.588915679,242.613184857,121.379635751,121.38158852,0.0,121.361292317,283.76069144,121.101687805,121.55230354,0.0,121.916078976,121.912300311,0.0,1093.44624218,729.404269561,283.272191203,323.865383361,1338.03320949,243.620503101,303.994057688,121.669392819,121.989722032,0.0,121.357794093,121.479145367,0.0,121.732359749,121.065189406,121.902417458,243.878462218,121.476081097,0.0
2014-03-30,0.2941842046,0.0040187541862,0.00535833891494,0.00937709310114,1047.67894522,0.0,201.710477355,201.710477355,181.9615311,484.433767863,182.027799085,302.347591748,0.0,565.850137455,0.0,120.308587429,0.0,0.0,120.977504236,7796.39702026,0.0,0.0,403.47063434,0.0,161.161894212,161.210133146,0.0,0.0,121.205779896,604.887851076,121.318062167,161.08886962,0.0,201.213386106,445.0441639,180.853109115,1048.13925683,807.279972288,302.347591748,0.0,1089.84628213,525.752763603,0.0,120.879431029,0.0,0.0,121.099669142,121.790737501,121.260585646,120.127290582,0.0,0.0,366.921337571,121.680652471,0.0
2014-04-06,0.4161566707,0.000625782227785,0.00250312891114,0.00312891113892,1335.27276416,125.185530454,0.0,0.0,0.0,710.729529561,374.359463793,0.0,125.087722663,502.509848354,0.0,0.0,125.185530454,0.0,125.329093167,8075.19662105,0.0,187.880424651,250.913836614,125.82909074,249.37607311,125.185568341,125.012277716,187.59190732,187.767413951,334.00027584,0.0,124.833739048,0.0,125.159826246,167.612868011,0.0,1544.23619766,292.305268463,0.0,0.0,1461.70391311,376.780861387,124.810039731,251.734004976,0.0,0.0,0.0,124.833739048,124.833739048,124.936923721,124.758492672,0.0,293.063095869,0.0,0.0
2014-04-13,0.3816793893,0.000667556742323,0.00133511348465,0.00333778371162,803.288081314,126.771741642,190.651525227,190.651525227,126.561154008,761.740615785,126.026818617,127.858596554,0.0,211.959598163,0.0,0.0,126.771741642,0.0,128.089805589,7497.48168174,0.0,126.600263888,380.375203025,252.510532045,127.339823016,127.049627211,0.0,126.217133958,125.950853084,211.562801389,0.0,127.014070466,0.0,251.069348473,126.676269459,0.0,803.146902367,422.972297137,127.858596554,0.0,973.39382921,381.632055411,126.257070402,128.051212698,0.0,0.0,127.436056432,126.026818617,126.3712613,126.198801914,0.0,0.0,212.023526005,0.0,0.0
2014-04-20,0.2686727566,0.00151745068285,0.00151745068285,0.00531107738998,844.194345571,133.911986168,199.567510784,199.567510784,0.0,712.408330002,132.775656623,401.857109275,133.866227413,535.290131501,133.262137939,132.615685953,133.911986168,0.0,199.647218919,7573.97122763,0.0,132.655642472,200.049850496,266.032675144,132.45610029,199.941733828,133.952369758,133.992777713,132.695623075,401.001155456,0.0,133.078167511,0.0,0.0,267.813389666,0.0,1244.96844381,756.161378711,401.857109275,133.262137939,1112.27246513,490.649458128,133.240886044,134.195183722,0.0,0.0,133.906694833,132.775656623,0.0,0.0,133.382519274,0.0,201.137024094,0.0,0.0
2014-04-27,0.1247660636,0.00063371356147,0.00190114068441,0.00380228136882,1205.55679135,193.633668869,129.496785291,129.496785291,129.510976023,474.125437797,0.0,128.670451507,129.664332649,259.086595687,129.079204794,128.786719987,193.633668869,0.0,128.864349113,6690.02677169,0.0,129.156916537,302.261270075,0.0,194.146099533,129.159251859,0.0,0.0,0.0,258.614464416,0.0,129.068374873,0.0,193.634652022,259.934794945,0.0,1162.8355161,560.448410113,128.670451507,129.079204794,1120.14318023,302.404816048,129.625159134,129.414099896,0.0,0.0,129.175803733,0.0,0.0,0.0,0.0,0.0,172.881134637,257.65104571,0.0
2014-05-04,0.4185559819,0.00120192307692,0.00180288461538,0.00540865384615,1229.35647024,126.888302648,127.275661799,127.275661799,191.413985987,636.902677238,127.684728221,127.045541458,0.0,255.125872298,254.985326695,0.0,126.888302648,0.0,126.792457969,6967.76589344,0.0,190.769242803,255.03593664,0.0,127.022552119,126.869558982,127.954593287,0.0,126.792457969,169.720349968,0.0,127.1610911,0.0,127.114857079,127.599577643,0.0,805.406596773,381.854626805,127.045541458,254.985326695,891.041638368,319.3728374,0.0,127.390745444,0.0,0.0,127.060858076,126.868931104,127.022552119,0.0,0.0,0.0,127.601428265,126.754255963,0.0
2014-05-11,0.1253132832,0.0,0.0011911852293,0.00297796307326,985.046208906,128.443893328,128.537130031,128.537130031,0.0,557.579976832,128.245443342,128.052535034,0.0,257.812935627,0.0,128.59897198,128.443893328,0.0,128.441459108,6308.89182701,0.0,128.403011223,171.723926381,0.0,128.443893328,128.459441274,128.508652632,193.146904776,128.052535034,128.741282936,128.560167221,128.470044164,0.0,0.0,128.933339288,0.0,899.487100513,385.498846651,128.052535034,0.0,1029.12469119,258.027998363,0.0,128.641816254,0.0,0.0,128.577305765,0.0,0.0,0.0,0.0,0.0,258.704391602,128.689650658,0.0
2014-05-18,0.0335795836,0.000599880023995,0.00119976004799,0.00119976004799,1374.61056508,0.0,0.0,0.0,275.371379421,780.238643761,137.10438704,136.815572502,0.0,321.700467653,0.0,136.939201031,0.0,0.0,0.0,6474.78043214,0.0,136.980460206,138.143599538,0.0,0.0,137.10438704,0.0,137.074644018,344.583282392,274.622861627,0.0,0.0,0.0,0.0,137.519100854,0.0,962.231642998,273.735989302,136.815572502,0.0,1650.93414211,137.68568971,0.0,137.352914629,0.0,0.0,0.0,0.0,138.797287054,0.0,0.0,137.261478977,138.039340247,0.0,0.0
