Week,NM,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,type a flu,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,walking pneumonia,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv
2014-01-19,4.5802841154,0.0144319516697,0.0177882194999,0.0285282765565,1269.8948345,178.681057389,277.579249073,277.579249073,178.525149907,594.875080471,119.202412246,0.0,198.099911337,119.199726973,1307.29571017,237.824651163,0.0,178.681057389,118.912325582,396.953085607,7492.99591936,119.063156747,118.984045923,277.663532314,118.749577851,298.018225027,277.292096409,118.606549151,0.0,119.05585283,238.162298424,594.563463921,118.697682395,119.097518176,237.74392914,118.912325582,517.409946342,0.0,357.393133278,1190.92095447,477.309701324,198.099911337,237.824651163,1744.05685527,1351.62029233,0.0,118.984045923,238.440734095,118.987018297,277.710227097,119.244237088,0.0,119.103253311,198.627024167,198.183415164,237.625948049,119.307860986
2014-01-26,4.5807978364,0.00895395110858,0.0112279704377,0.0221716884594,1401.46964268,175.090637753,408.029791638,408.029791638,116.456516816,662.013645685,116.702725097,0.0,116.451760069,116.737982718,1127.72601071,291.995179466,117.190934655,175.090637753,174.651170768,506.392665623,7973.91141885,116.491625805,116.875585273,194.684125893,0.0,292.698360414,291.085390279,116.491625805,116.622371182,116.692752818,232.955993941,622.819821354,0.0,116.416562737,155.455944429,0.0,390.592616071,0.0,467.399398203,1597.43768587,741.566294985,116.451760069,291.995179466,1749.87483095,1365.02013458,117.010524309,350.410055665,349.867113547,116.924315679,116.959012295,234.383792594,0.0,175.596299702,545.646259384,175.244537794,194.42503615,117.297085864
2014-02-02,3.459477018,0.00713093612502,0.00910332271279,0.0172963131543,1397.93920291,252.961885843,380.152675105,380.152675105,169.313294305,1100.9738744,126.480942922,0.0,126.522827204,127.936681465,592.292604385,317.696811125,0.0,252.961885843,0.0,127.936681465,7195.95236489,254.200550493,190.204179023,317.995986643,252.961885843,127.205300394,317.199485611,0.0,169.351556216,253.970435329,211.81412765,211.571819199,0.0,190.147778717,126.902236075,126.595439852,424.85960887,127.628214481,551.002902876,1738.25798864,764.125481036,126.522827204,317.696811125,1100.18061685,678.891731132,191.382206152,0.0,252.961885843,126.863407218,191.150742472,126.901780905,0.0,126.901780905,254.136920777,126.404726626,127.628214481,126.671886374
2014-02-09,4.3512658228,0.00688073394495,0.00963302752294,0.0180428134557,914.780521308,240.284499233,238.910932675,238.910932675,239.922406859,794.955052333,118.870077612,0.0,118.619674199,0.0,556.470958069,238.892451772,119.007549497,240.284499233,119.96120343,198.911848873,7788.53250358,119.007549497,118.977717284,198.852265311,0.0,0.0,198.516492788,0.0,0.0,0.0,118.905935856,158.992908458,118.974690241,238.807522145,118.870077612,0.0,119.115346191,0.0,477.866439466,1472.59638389,638.137140086,118.619674199,238.892451772,1509.85183967,955.470735436,119.265711759,118.958030798,118.935793363,118.619674199,118.935793363,0.0,0.0,118.691110317,198.744441213,118.905935856,475.599790939,179.26401543
2014-02-16,3.1315240084,0.00413223140496,0.00627486991123,0.0133149678604,1172.37788065,0.0,0.0,0.0,240.874204115,889.021208108,121.12889228,0.0,121.055901083,120.837588189,363.643340112,120.727655648,122.110578923,0.0,0.0,241.801082388,7310.67925945,121.360210672,161.747231434,323.397930441,0.0,120.983880669,241.893158154,0.0,0.0,243.345998276,121.889897154,181.337140434,0.0,0.0,0.0,0.0,121.637941693,0.0,445.192644877,1051.65851273,730.086299313,121.055901083,120.727655648,1978.6073744,607.197739774,121.238544265,121.507169218,0.0,0.0,0.0,182.923858583,121.783343454,121.295605744,283.263356686,121.055901083,201.931177293,120.473400159
2014-02-23,2.3519599666,0.00235017626322,0.00381903642773,0.00969447708578,1307.88226211,237.474562117,118.20005407,118.20005407,118.68355916,871.788502779,119.242205867,0.0,0.0,0.0,515.151849252,118.990640032,118.755152329,237.474562117,0.0,178.303132635,7049.00291806,118.378334694,178.123782053,297.450343899,0.0,179.056280265,118.847364126,357.079539005,0.0,178.261493338,238.470092686,356.589236306,119.19908885,0.0,118.990640032,0.0,119.777023826,0.0,515.61623659,1189.84295845,1073.13737201,0.0,118.990640032,1425.73524516,239.018408681,118.414055375,0.0,118.306957948,0.0,0.0,0.0,0.0,0.0,158.657238857,178.570500995,118.629880481,238.254477774
2014-03-02,2.0506931343,0.00213068181818,0.00411931818182,0.00823863636364,1244.11164131,0.0,120.316624691,120.316624691,200.543347931,962.328904399,0.0,0.0,0.0,0.0,361.08367332,119.874083315,0.0,0.0,0.0,120.849769253,8579.3684941,0.0,120.373477442,361.253311187,0.0,0.0,120.485939137,119.404051841,0.0,0.0,180.587495205,280.613819935,0.0,120.274836258,119.620102598,0.0,120.729116701,0.0,361.324292396,923.714695676,764.793359802,0.0,119.874083315,1402.9106768,361.555595654,120.519185934,120.589066435,119.620102598,0.0,180.145671569,121.06905318,120.747500366,181.402832169,361.667199954,120.311063618,0.0,0.0
2014-03-09,2.0947586083,0.00278837687115,0.00396243029058,0.0086586439683,1199.48575014,185.665417567,124.345390895,124.345390895,247.924975345,703.202665857,0.0,123.163244177,247.019685818,0.0,371.87228732,0.0,0.0,185.665417567,0.0,123.733491833,7272.18313069,0.0,249.00337606,413.747136189,124.847849903,206.991618744,0.0,122.977869035,0.0,124.960868475,124.065037413,454.436243709,0.0,0.0,123.200386289,0.0,124.533564913,0.0,620.849120095,910.194275353,497.210014234,247.019685818,0.0,1322.69157682,497.147892925,124.082900625,123.647845319,124.232759201,0.0,0.0,373.37468101,0.0,0.0,310.188118336,247.866806309,123.051952089,124.727467605
2014-03-16,2.0601336303,0.00202224469161,0.00390004333381,0.00751119456883,927.455305048,127.561384734,254.354558781,254.354558781,0.0,589.513090118,126.762054666,127.33064361,189.132605592,0.0,463.119767937,125.105903004,126.838532527,127.561384734,125.105903004,127.103217061,6950.71374298,0.0,190.779464082,295.23951735,126.762054666,168.820623523,127.33064361,0.0,125.928658641,126.061652249,0.0,294.806637541,124.880080074,0.0,125.105903004,0.0,0.0,0.0,442.444933794,1138.8965804,591.434062797,189.132605592,125.105903004,1558.59418643,422.038966999,0.0,0.0,126.762054666,0.0,126.762054666,125.560007915,126.175976601,127.17727939,315.341094412,125.030538002,127.2155858,0.0
2014-03-23,2.0681377527,0.00245813489015,0.00368720233523,0.0084498386849,1177.21929923,0.0,126.993423293,126.993423293,251.381380679,840.265892143,126.923285721,0.0,126.725343087,126.955056699,210.072933289,0.0,0.0,0.0,0.0,190.31306757,7435.6673468,0.0,168.212216302,251.98960387,124.672446219,188.735209104,188.464207942,0.0,126.923285721,126.999883962,190.198213298,294.032980737,0.0,0.0,126.923285721,126.648956502,189.396340316,0.0,462.840804603,1136.16191494,295.368564809,126.725343087,0.0,1848.60005485,421.249721173,124.785306008,0.0,0.0,0.0,0.0,168.811002356,124.785306008,126.68713828,251.552509113,126.961573288,0.0,126.846779822
2014-03-30,1.9087822336,0.00264344580936,0.0040429171202,0.0107292800498,1162.18873004,120.142239709,239.518252672,239.518252672,120.214723714,560.792541386,240.284479417,0.0,120.069526246,0.0,180.295900465,120.426774853,0.0,120.142239709,0.0,0.0,7206.83020191,0.0,120.499430537,180.105335314,120.676257797,241.789748413,240.18723444,238.863665013,0.0,0.0,180.622228341,400.525904483,120.372660282,119.503779393,120.263742112,0.0,160.690038385,0.0,280.75821835,1202.79868747,682.799275294,120.069526246,120.426774853,1521.1070549,642.02041825,180.493972596,0.0,120.26854814,0.0,362.24712609,0.0,119.611862402,0.0,120.238921118,120.069843059,240.212060948,119.575813016
2014-04-06,2.1110387799,0.00207648382073,0.00276864509431,0.00865201591971,1213.35285467,124.683445986,124.617300919,124.617300919,249.176301251,836.665376309,125.542381003,0.0,125.365895264,0.0,417.727885467,124.588150626,124.738528599,124.683445986,0.0,127.434404059,8360.71338516,0.0,124.663294263,418.547841249,188.751537552,126.091105931,254.255036153,127.165797967,0.0,0.0,127.511357201,292.82721375,0.0,0.0,124.588150626,0.0,0.0,0.0,251.28688052,1046.8407454,377.221844873,125.365895264,124.588150626,1212.32034702,209.507496273,249.326588526,188.804615453,0.0,0.0,0.0,127.742775272,125.929244669,0.0,251.03515662,125.872317465,0.0,0.0
2014-04-13,1.7712780452,0.00371155885472,0.00459526334394,0.0100742311771,1220.63180986,126.231404163,126.489572486,126.489572486,252.08236407,841.096822671,126.047613191,0.0,125.914554092,0.0,251.374428919,126.041182035,125.864063013,126.231404163,0.0,126.345813291,7401.93568296,0.0,125.902042513,378.930635699,126.633840814,252.53903502,252.540382458,126.317757789,0.0,189.790989355,126.824842082,589.231723279,0.0,126.633840814,126.786595748,0.0,126.57525484,0.0,295.009630571,1220.7606144,717.537706312,125.914554092,126.041182035,1387.37130451,421.354373561,126.117202049,127.247079752,126.26951751,0.0,0.0,126.206705653,0.0,0.0,168.501226107,125.965253612,188.843330833,0.0
2014-04-20,1.8769901123,0.00123704963662,0.00170094325035,0.0074222978197,1309.82888272,246.711261613,246.378313575,246.378313575,246.339484546,736.743682114,183.782312209,0.0,122.370865402,123.449441755,327.384649767,183.690183482,0.0,246.711261613,0.0,121.727973047,6993.51750907,0.0,123.412190867,245.593403782,121.61797789,123.392875864,122.417031128,123.179479387,0.0,123.412190867,0.0,204.3714172,0.0,0.0,0.0,0.0,123.019317123,0.0,122.629393959,982.818122111,369.374700761,122.370865402,183.690183482,1226.05552935,245.902345752,0.0,122.9669274,0.0,0.0,122.592384895,245.155850999,0.0,123.206875147,122.639259474,123.095543633,121.61797789,123.579439027
2014-04-27,1.8310691081,0.000458645467054,0.00183458186822,0.00718544565051,1106.0542697,0.0,235.689119789,235.689119789,118.149297033,632.033048139,177.897312654,0.0,118.220557164,0.0,315.945470423,119.013032386,0.0,0.0,0.0,118.829838918,8802.72144036,0.0,118.220557164,472.882228655,118.632801352,178.46921299,119.228310708,118.614988785,117.915593385,0.0,177.084303818,530.577926372,0.0,0.0,237.372876432,0.0,0.0,0.0,178.343325701,1145.96988594,633.513615252,118.220557164,119.013032386,1342.1147704,395.85628011,118.220557164,117.631971994,0.0,0.0,118.82977398,0.0,118.057917577,0.0,276.866396351,236.156245515,0.0,0.0
2014-05-04,1.5778533636,0.00122286762458,0.00351574442067,0.00901864873127,985.275139882,123.083012677,122.834644963,122.834644963,123.320310261,697.593952012,0.0,0.0,184.569273339,0.0,163.986344742,0.0,0.0,123.083012677,0.0,123.057037199,7710.97509916,0.0,164.270315976,328.331351438,0.0,123.070047946,123.071508337,0.0,245.817372681,123.281294108,0.0,410.1815841,0.0,0.0,205.028708454,0.0,185.548140939,0.0,123.131347004,739.143202899,493.955240132,184.569273339,0.0,1640.40380512,452.16613953,247.685391684,122.613055105,0.0,0.0,0.0,123.804714931,123.057037199,123.300528693,245.869171539,184.280616424,122.89753496,123.306326277
2014-05-11,1.6795036371,0.000721396623864,0.00216418987159,0.0079353628625,1090.94363662,0.0,125.590499862,125.590499862,126.004975018,586.645971227,125.928999754,0.0,125.853116054,125.9666558,544.551108373,125.74077559,0.0,0.0,0.0,252.009583612,8215.53306206,0.0,188.752823687,125.931146663,125.662938727,126.063615161,188.438162981,125.777323753,125.779870339,0.0,125.587238162,335.277670006,0.0,0.0,377.339611016,0.0,0.0,0.0,252.085627514,1384.93899853,420.265263615,125.853116054,125.74077559,963.549332012,252.177006885,252.397004564,125.588241787,0.0,0.0,125.833778914,0.0,126.0428146,0.0,126.348001266,188.60112349,0.0,125.70405366
2014-05-18,2.1290931141,0.00080567193039,0.00257815017725,0.00692877860135,985.587961163,0.0,283.251273318,283.251273318,141.710979013,469.034689246,0.0,0.0,0.0,0.0,352.467503433,0.0,0.0,0.0,141.625636659,141.188693775,6937.84950664,0.0,0.0,211.331949602,140.83764065,0.0,140.556010147,140.069530672,141.839185568,140.280809744,140.753905451,422.205440808,0.0,211.501827731,140.584356012,0.0,141.680310866,0.0,281.81931344,1126.6553454,658.902171186,0.0,0.0,1078.15707581,375.972123617,0.0,140.98786159,141.839185568,140.440804992,0.0,140.757516299,0.0,280.966571148,140.387101285,139.933034681,283.336589967,0.0
2014-05-25,1.7060367454,0.000375093773443,0.00150037509377,0.00506376594149,987.760537201,156.005126568,155.985063785,155.985063785,233.179107115,882.927296242,0.0,0.0,155.91732864,0.0,155.027639396,155.261255489,155.63252492,156.005126568,0.0,155.636509278,5504.51484009,0.0,0.0,155.398272504,0.0,155.542525879,0.0,0.0,0.0,310.897311836,0.0,311.549106328,155.769895678,0.0,155.515236356,0.0,156.669721287,0.0,0.0,624.037919945,364.777432575,155.91732864,155.261255489,779.028552269,260.204364766,155.354899189,234.627600042,0.0,0.0,0.0,0.0,0.0,234.29617822,234.170628927,155.167724612,0.0,0.0
