Week Start Date,Year,MMWR Week,State,Visit Count,Flu Vaccine Visit Count,Flu Visit Count,ILI Visit Count,CDC ILI Visit Count,Unspecified Viral or ILI Visit Count
04/11/2010,2010,15,RI,3775,78,1,10,9,42
04/11/2010,2010,15,SC,7987,12,6,22,17,72
04/11/2010,2010,15,TN,8395,19,4,9,5,25
04/11/2010,2010,15,TX,26210,154,49,120,73,310
04/11/2010,2010,15,UT,1542,3,2,15,14,27
04/11/2010,2010,15,VA,14401,14,4,39,35,75
04/11/2010,2010,15,WA,1236,0,0,2,2,5
04/11/2010,2010,15,WI,360,0,0,0,0,0
04/11/2010,2010,15,WV,723,0,1,1,0,2
04/11/2010,2010,15,WY,410,1,0,0,0,1
04/18/2010,2010,16,AL,1847,2,1,1,0,2
04/18/2010,2010,16,ALL STATES,313206,761,209,920,725,2732
04/18/2010,2010,16,AR,4461,3,4,17,13,41
04/18/2010,2010,16,AZ,8993,5,3,13,12,27
04/18/2010,2010,16,CA,6873,35,1,10,9,27
04/18/2010,2010,16,CO,1512,2,3,3,0,13
04/18/2010,2010,16,CT,2712,6,1,12,11,28
04/18/2010,2010,16,DE,298,0,0,0,0,0
04/18/2010,2010,16,FL,9070,15,12,35,23,91
04/18/2010,2010,16,GA,16558,13,5,44,40,87
04/18/2010,2010,16,IA,98,0,0,0,0,0
04/18/2010,2010,16,IL,21676,87,4,26,22,142
04/18/2010,2010,16,IN,1693,4,1,11,10,13
04/18/2010,2010,16,KS,4525,0,0,5,5,24
04/18/2010,2010,16,KY,8433,0,2,23,21,67
04/18/2010,2010,16,LA,10313,49,29,57,34,150
04/18/2010,2010,16,MA,35671,138,9,95,86,389
04/18/2010,2010,16,MD,5654,23,5,14,9,56
04/18/2010,2010,16,MI,2423,7,1,4,3,5
04/18/2010,2010,16,MN,4,0,0,0,0,0
04/18/2010,2010,16,MO,2247,5,4,8,4,29
04/18/2010,2010,16,MS,3897,1,4,15,12,36
04/18/2010,2010,16,MT,1,0,0,0,0,0
04/18/2010,2010,16,NC,7441,16,22,51,29,77
04/18/2010,2010,16,NH,165,0,0,0,0,2
04/18/2010,2010,16,NJ,8832,28,17,24,7,124
04/18/2010,2010,16,NM,4176,23,5,7,2,21
04/18/2010,2010,16,NV,235,0,0,1,1,1
04/18/2010,2010,16,NY,8513,13,0,0,0,88
04/18/2010,2010,16,OH,58156,85,16,164,148,559
04/18/2010,2010,16,OK,2889,1,0,26,26,30
04/18/2010,2010,16,OR,2620,2,0,3,3,13
04/18/2010,2010,16,PA,8478,20,6,15,9,55
04/18/2010,2010,16,RI,3150,38,1,9,8,33
