Week,SD,athena_flu,athena_ILI,athena_viral,influenza b symptoms,strep,flu how long,how long flu,strep throat,expectorant,influenza a treatment,rsv in adults,influenza a symptoms,flu symptoms,cold and flu,tamiflu side effects,cold,flu shots,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,rsv baby,flu shot,symptoms of influenza,symptoms of influenza b,rsv,pneumonia,bronchitis,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,a influenza,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2010-06-20,0.0,0.0,0.00224550898204,0.00336826347305,0.0,1248.55387392,744.830234551,744.830234551,1124.56633448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5232.25504932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.558600611,0.0,0.0,0.0,0.0,0.0,749.048629,1247.19992178,746.35536278,1250.36629308,748.427362155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-27,0.517464424,0.0,0.00107449856734,0.00107449856734,0.0,745.993971217,0.0,0.0,752.952899457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7029.54069779,0.0,0.0,1254.87323237,0.0,0.0,0.0,0.0,0.0,0.0,750.454413215,0.0,0.0,0.0,0.0,0.0,0.0,1132.43776877,764.307031995,1259.6594931,0.0,0.0,0.0,0.0,0.0,0.0,750.228100062,750.228100062,0.0,749.098578683,0.0,0.0
2010-07-04,0.0,0.0,0.00266075388027,0.00487804878049,0.0,1899.44103983,0.0,0.0,1140.35386808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5576.13033278,0.0,0.0,755.354275329,0.0,0.0,0.0,759.399737863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.53622227,765.072789016,2034.58602206,0.0,0.0,758.555898052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-11,0.0,0.0,0.00104638995466,0.00244157656087,0.0,1399.316742,0.0,0.0,1050.28101221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3267.48397269,0.0,0.0,699.631835624,0.0,0.0,0.0,0.0,0.0,0.0,705.39582374,0.0,0.0,0.0,0.0,0.0,0.0,1053.71204843,696.666739473,2341.19979941,704.331236019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-18,0.0,0.0,0.000377500943752,0.000377500943752,0.0,932.113389351,0.0,0.0,692.921379308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.06328091,0.0,0.0,693.320754366,0.0,694.151690005,0.0,0.0,0.0,0.0,692.711910935,0.0,0.0,0.0,0.0,0.0,0.0,694.151690005,1053.01612235,1408.51868663,0.0,0.0,696.246293777,0.0,0.0,0.0,0.0,0.0,0.0,706.52198058,0.0,0.0
2010-07-25,0.233918129,0.0,0.000350017500875,0.00105005250263,0.0,1168.11987319,0.0,0.0,2101.85964614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662.54197559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.224284001,0.0,0.0,0.0,0.0,0.0,0.0,699.012603994,700.530136151,1169.46179429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.588019171,0.0,0.0
2010-08-01,0.347314988,0.0,0.0012957563978,0.0012957563978,0.0,1053.97424246,0.0,0.0,1055.03690961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6763.72234644,0.0,0.0,0.0,0.0,694.421268556,0.0,700.064884803,0.0,699.643158968,703.259546569,0.0,0.0,0.0,0.0,0.0,699.432486533,700.698427685,696.096591279,702.605955165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.29555825,0.0,0.0
2010-08-08,0.313889615,0.0,0.00245298446443,0.00245298446443,0.0,1151.89837954,0.0,0.0,688.161699517,0.0,0.0,0.0,0.0,687.374829044,0.0,0.0,4370.46917506,0.0,0.0,0.0,686.131836587,0.0,0.0,694.64787052,0.0,0.0,696.957763681,0.0,0.0,0.0,0.0,0.0,0.0,1035.58624791,689.887005459,1845.40591151,0.0,0.0,0.0,0.0,0.0,685.422077312,0.0,0.0,0.0,685.51202463,0.0,0.0
2010-08-15,0.340384148,0.0,0.000300030003,0.000900090009001,0.0,1020.55082548,0.0,0.0,685.205238503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3419.28874919,687.771956071,0.0,0.0,0.0,1381.29337579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.271707521,0.0,1371.81116324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.769654414,0.0,0.0,0.0
2010-08-22,0.299890949,0.0,0.000312012480499,0.000936037441498,0.0,1092.94056107,0.0,0.0,1317.05793325,0.0,0.0,0.0,0.0,655.212029155,0.0,0.0,6761.06991804,0.0,0.0,657.933192531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.03478458,650.828547131,982.480434794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-29,0.30052592,0.0,0.000328623069339,0.000985869208018,0.0,1272.59606003,0.0,0.0,635.956172396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6981.67133347,636.490033042,0.0,633.318073451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.08225492,635.536034879,1697.99536832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.174556014,0.0,0.0
2010-09-05,0.502232143,0.0,0.00173792144595,0.00208550573514,0.0,1568.66204303,0.0,0.0,941.481807829,0.0,0.0,0.0,0.0,624.791869986,0.0,628.441853289,6683.34326759,0.0,0.0,0.0,0.0,0.0,0.0,627.305430407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.361546221,626.643450432,835.811135706,942.336345521,626.801689703,0.0,627.440094685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.87312763,0.0
2010-09-12,0.450092666,0.0,0.000996677740864,0.00166112956811,0.0,893.359669295,0.0,0.0,992.232071774,0.0,0.0,0.0,0.0,590.475303415,0.0,0.0,5544.56276046,0.0,0.0,886.984327477,0.0,591.875265609,0.0,0.0,0.0,0.0,600.442740653,0.0,0.0,594.348062268,0.0,0.0,0.0,1189.12768342,596.043713098,1780.23106334,599.536548771,599.17483743,0.0,0.0,0.0,590.475303415,0.0,0.0,0.0,591.340599606,0.0,592.768527405
2010-09-19,0.743362832,0.0,0.00165562913907,0.00298013245033,0.0,1176.94435613,0.0,0.0,785.443974093,0.0,0.0,0.0,0.0,877.326947286,0.0,0.0,7643.90858244,587.529245934,0.0,584.35537734,0.0,587.150081082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.766442326,0.0,0.0,586.619683538,1184.75755315,588.238074196,1173.04440754,1177.03267929,0.0,0.0,0.0,0.0,875.125616564,0.0,0.0,0.0,582.117856667,581.415452014,0.0
2010-09-26,0.643974241,0.000371609067261,0.00111482720178,0.00222965440357,0.0,990.936503811,590.289234435,590.289234435,1779.42003752,0.0,0.0,0.0,0.0,594.349918289,0.0,0.0,7325.75435583,1183.88379291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.391435009,594.036536104,593.857014637,0.0,1186.78416167,0.0,0.0,0.0,1190.63848693,792.210216034,1787.82330309,1186.28002501,0.0,0.0,0.0,0.0,591.533070871,0.0,0.0,0.0,594.850940181,0.0,0.0
2010-10-03,1.1027481183,0.0,0.00139958012596,0.00209937018894,0.0,2374.10922877,0.0,0.0,1187.59228554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8702.50180541,589.673696591,0.0,594.740937005,0.0,0.0,0.0,592.094907767,0.0,0.0,0.0,0.0,0.0,1383.88836048,0.0,0.0,0.0,1383.83155383,1189.78934059,1190.75238422,594.0580714,0.0,597.107437042,0.0,0.0,594.587236826,0.0,0.0,0.0,593.513651685,0.0,0.0
2010-10-10,0.7937939744,0.0,0.00169721656483,0.0020366598778,0.0,1453.25430957,618.673056398,618.673056398,1553.08841044,0.0,0.0,0.0,0.0,939.401068008,627.818135958,0.0,5803.5580012,612.499243453,0.0,626.303952935,626.293927748,0.0,624.973826123,619.139093159,0.0,0.0,613.053541411,0.0,0.0,1035.22372604,0.0,0.0,1223.89189387,1240.24130711,622.070575205,932.07767543,931.282014434,0.0,0.0,0.0,0.0,626.303952935,0.0,0.0,0.0,625.173100176,629.530367238,0.0
